Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1,JLPT4,それ,それ,"that, that one",Pronoun,それはとってもいい話だ。,それ は とっても いい はなし だ,That's a really nice story.
2,JLPT4,見る,みる,"see, look at",Verb,私は絵を見るのが好きです。,わたし は え を みる の が すき です,I like looking at pictures.
3,JLPT2,円,えん,circle,Noun,そこに大きな円を描いて。,そこ に おおき な えん を かいて,Draw a big circle there.
4,JLPT3,多い,おおい,lots of,Adjective,京都にはお寺が多い。,きょうと に は おてら が おおい,There are a lot of temples in Kyoto.
5,JLPT2,家,うち,"house, home",Noun,家に遊びに来てください。,うち に あそび に きて ください,Please come over to my house.
6,JLPT4,これ,これ,"this, this one",Noun,これをください。,これをください。,I'll have this please.
7,JLPT4,新しい,あたらしい,new,Adjective,彼の車は新しい。,かれ の くるま は あたらしい,His car is new.
8,JLPT2,私,わたし,I,Noun,私が行きましょう。,わたし が いきましょう,Why don't I go.
9,JLPT4,仕事,しごと,"work, job",Noun,3月は仕事が忙しい。,さんがつ は しごと が いそがしい,I have a lot of work in March.
10,JLPT3,始める,はじめる,"begin, start",Verb,テストを始めてください。,てすと を はじめて ください,Please start the test.
11,JLPT4,なる,なる,become,Verb,彼は医者になりました。,かれ は いしゃ に なりました,He became a doctor.
12,JLPT4,する,する,"do, make",Verb,友達と一緒に宿題をした。,ともだち と いっしょ に しゅくだい を した,I did my homework with a friend.
13,JLPT4,出る,でる,"go out, leave",Verb,今朝は早く家を出ました。,けさ は はやく いえ を でました,I left the house early this morning.
14,JLPT4,使う,つかう,use,Verb,このパソコンを使ってください。,この ぱそこん を つかって ください,Please use this computer.
15,JLPT0,ところ,ところ,place,Noun,私は友達のところに泊まった。,わたし は ともだち の ところ に とまった,I stayed at my friend's place for the night.
16,JLPT3,思う,おもう,think,Verb,私もそう思います。,わたし も そう おもいます,I think so too.
17,JLPT4,持つ,もつ,"have, possess",Verb,私は車を持っています。,わたし は くるま を もって います,I have a car.
18,JLPT4,時間,じかん,"time, hour",Noun,今は時間がありません。,いま は じかん が ありません,I don't have time now.
19,JLPT4,今年,ことし,this year,Noun,今年はイタリアに旅行したい。,ことし は いたりあ に りょこう したい,I want to travel to Italy this year.
20,JLPT4,知る,しる,know,Verb,誰もその話を知らない。,だれ も その はなし を しらない,No one knows that story.
21,JLPT4,作る,つくる,"make, create",Verb,今、朝ご飯を作っています。,いま あさごはん を つくって います,I'm making breakfast now.
22,JLPT4,同じ,おなじ,"same, identical",Adjectival Noun,彼の日本語のレベルは私と同じ位だ。,かれ の にほんご の れべる は わたし と おなじ くらい だ,His Japanese level is about the same as mine.
23,JLPT4,今,いま,now,Adverb,彼は今、勉強しています。,かれ は いま べんきょう して います,He's studying now.
24,JLPT3,続く,つづく,"continue, follow",Verb,工事は3月まで続きます。,こうじ は さんがつ まで つづきます,Construction will continue until March.
25,JLPT4,国,くに,country,Noun,私の国について少しお話しましょう。,わたし の くに に ついて すこし おはなし しましょう,Let me tell you a bit about my country.
26,JLPT2,未だ,まだ,"yet, more",Adverb,宿題は未だ終わっていません。,しゅくだい は まだ おわって いません,I haven't finished my homework yet.
27,JLPT4,やる,やる,do,Verb,一緒に宿題をやろう。,いっしょ に しゅくだい を やろう,Let's do our homework together.
28,JLPT4,言う,いう,"say, tell",Verb,上司が「一杯、飲もう。」と言った。,じょうし が いっぱい のもう と いった,"My boss said: ""Let's have a drink."""
29,JLPT2,少ない,すくない,"few, little",Adjective,今年は雨が少ないです。,ことし は あめ が すくない です 。,There's not much rain this year.
30,JLPT4,行く,いく,go,Verb,日曜日は図書館に行きます。,にちようび は としょかん に いきます,I go to the library on Sundays.
31,JLPT3,決める,きめる,"decide, agree upon",Verb,帰国することに決めました。,きこく する こと に きめました,I've decided to go back to my country.
32,JLPT4,高い,たかい,"high, tall",Adjective,これがこの町で一番高いビルです。,これ が この まち で いちばん たかい びる です,This is the tallest building in town.
33,JLPT3,考える,かんがえる,"think, consider",Verb,よく考えてください。,よく かんがえて ください,Please think carefully.
34,JLPT2,感じる,かんじる,"feel, sense",Verb,膝に痛みを感じます。,ひざ に いたみ を かんじます,I feel a pain in my knee.
