Core-index,jlpt,Vocab-expression,Vocab-kana,Bahasa-meaning,Vocab-meaning-eng,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning-Bahasa,Sentence-meaning-eng
1,JLPT4,それ,それ,Itu,"that, that one",Pronoun,それはとってもいい話だ。,それ は とっても いい はなし だ,Itu cerita yang sangat bagus.,That's a really nice story.
2,JLPT4,見る,みる,Melihat,"see, look at",Verb,私は絵を見るのが好きです。,わたし は え を みる の が すき です,Saya suka melihat lukisan.,I like looking at pictures.
3,JLPT2,円,えん,Yen,circle,Noun,そこに大きな円を描いて。,そこ に おおき な えん を かいて,Kare rice harganya 700 yen.,Draw a big circle there.
4,JLPT3,多い,おおい,Banyak,lots of,Adjective,京都にはお寺が多い。,きょうと に は おてら が おおい,Di Kyoto ada banyak kuil.,There are a lot of temples in Kyoto.
5,JLPT2,家,うち,Rumah,"house, home",Noun,家に遊びに来てください。,うち に あそび に きて ください,Ini adalah rumah saya.,Please come over to my house.
6,JLPT4,これ,これ,Ini,"this, this one",Noun,これをください。,これをください。,Tolong beri saya ini.,I'll have this please.
7,JLPT4,新しい,あたらしい,Baru,new,Adjective,彼の車は新しい。,かれ の くるま は あたらしい,Mobilnya baru.,His car is new.
8,JLPT2,私,わたし,Saya,I,Noun,私が行きましょう。,わたし が いきましょう,Saya akan pergi.,Why don't I go.
9,JLPT4,仕事,しごと,Pekerjaan,"work, job",Noun,3月は仕事が忙しい。,さんがつ は しごと が いそがしい,Bulan Maret pekerjaan saya sibuk.,I have a lot of work in March.
10,JLPT3,始める,はじめる,Mulai,"begin, start",Verb,テストを始めてください。,てすと を はじめて ください,Silakan mulai tesnya.,Please start the test.
11,JLPT4,なる,なる,Menjadi,become,Verb,彼は医者になりました。,かれ は いしゃ に なりました,Banyak buah tumbuh di pohon kesemek.,He became a doctor.
12,JLPT4,する,する,Melakukan,"do, make",Verb,友達と一緒に宿題をした。,ともだち と いっしょ に しゅくだい を した,Saya mengerjakan PR bersama teman.,I did my homework with a friend.
13,JLPT4,出る,でる,Keluar,"go out, leave",Verb,今朝は早く家を出ました。,けさ は はやく いえ を でました,Saya keluar rumah lebih awal pagi ini.,I left the house early this morning.
14,JLPT4,使う,つかう,Menggunakan,use,Verb,このパソコンを使ってください。,この ぱそこん を つかって ください,Silakan gunakan komputer ini.,Please use this computer.
15,JLPT0,ところ,ところ,Tempat,place,Noun,私は友達のところに泊まった。,わたし は ともだち の ところ に とまった,Saya menginap di tempat teman.,I stayed at my friend's place for the night.
16,JLPT3,思う,おもう,Pikir,think,Verb,私もそう思います。,わたし も そう おもいます,Saya juga berpikir begitu.,I think so too.
17,JLPT4,持つ,もつ,Memiliki,"have, possess",Verb,私は車を持っています。,わたし は くるま を もって います,Mobil ini masih bagus.,I have a car.
18,JLPT4,時間,じかん,Waktu,"time, hour",Noun,今は時間がありません。,いま は じかん が ありません,Sekarang saya tidak punya waktu.,I don't have time now.
