Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
501,JLPT3,技術,ぎじゅつ,"skill, technology","कौशल, प्रविधि",Noun,彼は非常に高い技術を持っている。,उहाँसँग धेरै उच्च स्तरको कौशल छ।,かれ は ひじょう に たかい ぎじゅつ を もって いる,He has very advanced skills.,"Imagine a ninja named Gi (技 - ぎ) using the latest gadgets and tech to perform stunts. He's juggling lasers, robots, and drones, showing off his top-notch skills. 技術 (ぎじゅつ) means 'technology' or 'skill' in Japanese. Picture Gi saying, 'With my gadgets, I’m the tech king!'","{'word': '技術', 'pronunciation': 'ぎじゅつ', 'meanings': [{'nepali': 'कौशल', 'english': 'skill', 'details': ['कुनै काम वा प्रक्रियामा दक्षता र दक्षताको स्तर।', 'जस्तै - चित्रकलामा कलाकारको कौशल, नृत्यमा नर्तकको कौशल, लेखनमा लेखकको कौशल आदि।']}, {'nepali': 'प्रविधि', 'english': 'technology, method', 'details': ['वैज्ञानिक र प्राविधिक ज्ञानको उपयोग गरेर विकास गरिएको विधि वा उपकरण।', 'जस्तै - कम्प्युटर प्रविधि, सूचना प्रविधि, निर्माण प्रविधि आदि।']}]}"
502,JLPT0,まま,まま,"as is, still (in the current state)","जस्ताको तस्तै, अझै पनि (वर्तमान अवस्थामा)",Noun,電気がついたままですよ。,बत्ती अझै पनि बलिरहेको छ।,でんき が ついた まま です よ,The light is still on.,"Picture your mom (まま) trying to fix a leaky faucet with a spoon, but she insists, 'This is the way it is, no changes!' まま means 'as it is' or 'without change' in Japanese. Imagine her saying, 'If it ain’t broke, don’t fix it!'","{'word': 'まま', 'pronunciation': 'まま', 'meanings': [{'nepali': 'जस्ताको तस्तै', 'english': 'as is', 'details': ['कुनै परिवर्तन नगरी, जस्तो अवस्थामा हो त्यसै।']}, {'nepali': 'अझै पनि (वर्तमान अवस्थामा)', 'english': 'still (in the current state)', 'details': ['वर्तमान अवस्थालाई निरन्तर राखेर।']}]}"
503,JLPT2,完成,かんせい,"completion, finish","सम्पन्नता, समाप्त",Verbal Noun,新しいホームページが完成した。,नयाँ होमपेज सम्पूर्ण भयो।,あたらしい ほーむぺーじ が かんせい した,We finished our new home page.,"Imagine a superhero named Kansei (完成 - かんせい) who can perfectly complete any task with a snap of his fingers. He finishes building a skyscraper in seconds and stands proudly. 完成 (かんせい) means 'completion' or 'perfection' in Japanese. Picture him saying, 'Mission complete!'","{'word': '完成', 'pronunciation': 'かんせい', 'meanings': [{'nepali': 'सम्पन्नता', 'english': 'completion', 'details': ['कुनै काम वा परियोजनाको सम्पूर्णता।']}, {'nepali': 'समाप्त', 'english': 'finish', 'details': ['कुनै कामको अन्तिम चरण।']}]}"
504,JLPT2,変化,へんか,change,परिवर्तन,Verbal Noun,今年は変化の多い年でした。,यस वर्ष धेरै परिवर्तन भएको वर्ष थियो।,ことし は へんか の おおい とし でした,There was a lot of change this year.,"Visualize a hen (変 - へん) going through a crazy transformation into a flashy sports car (化 - か). It's the ultimate makeover show! 変化 (へんか) means 'change' or 'transformation' in Japanese. Imagine the hen-car honking, 'Bawk bawk, vroom!'","{'word': '変化', 'pronunciation': 'へんか', 'meanings': [{'nepali': 'परिवर्तन', 'english': 'change', 'details': ['कुनै कुरा वा अवस्थामा भएको रूपान्तरण।']}]}"
505,JLPT2,存在,そんざい,"existence, being",अस्तित्व,Verbal Noun,宇宙人は存在すると思いますか。,तपाईंलाई लाग्छ कि एलियन्सको अस्तित्व छ?,うちゅうじん は そんざい する と おもいます か,Do you think that aliens exist?,"Imagine a giant sun (存 - そん) wearing glasses and reading a book, proving it’s very much alive and present. 存在 (そんざい) means 'existence' or 'being' in Japanese. Picture the sun saying, 'I shine, therefore I am!'","{'word': '存在', 'pronunciation': 'そんざい', 'meanings': [{'nepali': 'अस्तित्व', 'english': 'existence', 'details': ['कुनै चीज वा व्यक्तिको वर्तमान अवस्था।']}, {'nepali': 'स्थिति', 'english': 'being', 'details': ['कुनै व्यक्तिको अस्तित्व वा उपस्थिति।']}]}"
506,JLPT2,参加,さんか,participation,सहभागिता,Verbal Noun,明日は市民マラソンに参加します。,भोलि नगर म्याराथनमा सहभागी हुनेछु।,あす は しみん まらそん に さんか します,I'll participate in the citizens' marathon tomorrow.,"Picture a sun (参 - さん) enthusiastically joining a karaoke (加 - か) contest, belting out tunes with a microphone. 参加 (さんか) means 'participation' in Japanese. Imagine the sun singing, 'Joining in on the fun!'","{'word': '参加', 'pronunciation': 'さんか', 'meanings': [{'nepali': 'सहभागिता', 'english': 'participation', 'details': ['कुनै गतिविधिमा भाग लिने क्रिया।']}]}"
507,JLPT4,テレビ,テレビ,television,टेलिभिजन,Noun,私はテレビをあまり見ません。,म धेरै टेलिभिजन हेर्दिन।,わたし は てれび を あまり みません,I don't watch much TV.,"Imagine a TV (テレビ) that comes to life and turns into a giant bee (ビ) that flies around broadcasting shows. テレビ (てれび) means 'television' in Japanese. Picture the bee saying, 'Buzzing with entertainment!'","{'word': 'テレビ', 'pronunciation': 'てれび', 'meanings': [{'nepali': 'टेलिभिजन', 'english': 'television', 'details': ['दूरसञ्चार माध्यम जसले आवाज र तस्वीरहरू प्रसारण गर्दछ।']}]}"
508,JLPT2,土地,とち,land,भूमि,Noun,ここは父の土地です。,यो मेरो बुवाको भूमि हो।,ここ は ちち の とち です,This is my father's land.,"Imagine a toucan (土地 - とち) flying around, proudly showing off its plot of land, planting trees and flowers. 土地 (とち) means 'land' or 'ground' in Japanese. Picture the toucan saying, 'Welcome to my land!'","{'word': '土地', 'pronunciation': 'とち', 'meanings': [{'nepali': 'भूमि', 'english': 'land', 'details': ['जमिनको क्षेत्रफल, जुन कुनै व्यक्तिको स्वामित्वमा हुन्छ।']}]}"
509,JLPT2,減る,へる,"decrease, diminish",घट्नु,Verb,体重がかなり減りました。,मेरो तौल धेरै घट्यो।,たいじゅう が かなり へりました,I've lost a lot of weight.,"Visualize a hare (減る - へる) on a diet, shrinking every day until it's a tiny bunny, all while jogging on a treadmill. 減る (へる) means 'to decrease' or 'to reduce' in Japanese. Picture the hare saying, 'Getting smaller and fitter!'","{'word': '減る', 'pronunciation': 'へる', 'meanings': [{'nepali': 'घट्नु', 'english': 'decrease, diminish', 'details': ['कुनै वस्तु वा मात्रामा कमी आउनु।']}]}"
510,JLPT2,検討,けんとう,"consideration, inspection","विचार, जाँच",Verbal Noun,今日中にこの問題を検討してください。,कृपया आज यो समस्यालाई विचार गर्नुहोस्।,きょう じゅう に この もんだい を けんとう して ください,Please consider this problem by the end of the day.,"Imagine a detective named Ken (検 - けん) thinking deeply (討 - とう) with a magnifying glass, solving the toughest cases. 検討 (けんとう) means 'consideration' or 'examination' in Japanese. Picture Ken saying, 'Elementary, my dear Watson!'","{'word': '検討', 'pronunciation': 'けんとう', 'meanings': [{'nepali': 'विचार', 'english': 'consideration', 'details': ['कुनै विषयमा गहिरो सोच।']}, {'nepali': 'जाँच', 'english': 'inspection', 'details': ['कुनै वस्तुको जाँच र समीक्षा।']}]}"
